Date,Name,Year,Letterboxd URI
2026-02-03,"Bianco, rosso e Verdone",1981,https://boxd.it/17xM
2026-02-03,The Mission,1986,https://boxd.it/1TTw
2026-02-03,Compagni di scuola,1988,https://boxd.it/o9K
2026-02-03,When Harry Met Sally...,1989,https://boxd.it/29W2
2026-02-03,Pretty Woman,1990,https://boxd.it/2b6M
2026-02-03,Pulp Fiction,1994,https://boxd.it/29Pq
2026-02-03,American Psycho,2000,https://boxd.it/28Vs
2026-02-03,The Talented Mr. Ripley,1999,https://boxd.it/2924
2026-02-03,Cast Away,2000,https://boxd.it/20i8
2026-02-03,Vicky Cristina Barcelona,2008,https://boxd.it/23rW
2026-02-03,The Hangover,2009,https://boxd.it/1GjK
2026-02-03,Enemy,2013,https://boxd.it/5xtO
2026-02-03,Captain Fantastic,2016,https://boxd.it/b2K2
2026-02-03,Yesterday,2019,https://boxd.it/iF7M
2026-02-03,Chernobyl,2019,https://boxd.it/mkbG
2026-02-03,Martin Eden,2019,https://boxd.it/lqNO
2026-02-06,Wild Strawberries,1957,https://boxd.it/29ZU
2026-02-09,Wedding Crashers,2005,https://boxd.it/1Yte
2026-02-09,Marie Antoinette,2006,https://boxd.it/27Wa
2026-02-19,Doctor Zhivago,1965,https://boxd.it/29jk
2026-02-19,The Holiday,2006,https://boxd.it/28ye
2026-02-19,Ghost,1990,https://boxd.it/2aLE
2026-02-20,Die My Love,2025,https://boxd.it/D5cI
2026-02-21,They Live,1988,https://boxd.it/20lm
2026-02-21,Senna,2010,https://boxd.it/kfE
2026-02-26,Chungking Express,1994,https://boxd.it/1UDa
2026-03-04,Fallen Angels,1995,https://boxd.it/1UkW
2026-03-07,Raging Bull,1980,https://boxd.it/28yI
2026-03-09,Anora,2024,https://boxd.it/Egcw
2026-03-10,Sentimental Value,2025,https://boxd.it/GwcG
2026-03-18,Catch Me If You Can,2002,https://boxd.it/29VS
2026-03-19,13 Going on 30,2004,https://boxd.it/1X6e
2026-03-19,Mean Girls,2004,https://boxd.it/1VNg
2026-03-19,Mr. & Mrs. Smith,2005,https://boxd.it/29CG
2026-03-19,The Devil Wears Prada,2006,https://boxd.it/2awE
2026-03-19,Up,2009,https://boxd.it/1OEc
2026-03-19,Joker,2019,https://boxd.it/h4cS
2026-03-19,Barbie,2023,https://boxd.it/bCLK
2026-03-21,The Voice of Hind Rajab,2025,https://boxd.it/UXdO
2026-03-21,Sicilian Letters,2024,https://boxd.it/Htgs
2026-03-21,Inside Out 2,2024,https://boxd.it/CFrC
2026-03-21,Soul,2020,https://boxd.it/ioLA
2026-03-21,A Rainy Day in New York,2019,https://boxd.it/h2z6
2026-03-21,The Traitor,2019,https://boxd.it/l8d4
2026-03-21,Dirty Grandpa,2016,https://boxd.it/99pG
2026-03-21,I Can Quit Whenever I Want,2014,https://boxd.it/7kAm
2026-03-21,The Great Gatsby,2013,https://boxd.it/JY
2026-03-21,The Iron Lady,2011,https://boxd.it/2qli
2026-03-25,Project Hail Mary,2026,https://boxd.it/pEeQ
2026-03-27,Barry Lyndon,1975,https://boxd.it/25A2
