Date,Name,Year,Letterboxd URI,Rating
2026-03-08,A Brighter Tomorrow,2023,https://boxd.it/yQy2,2.5
2026-03-10,Saltburn,2023,https://boxd.it/z4eg,2.5
2026-03-10,Rose Island,2020,https://boxd.it/nBlq,2
2026-03-18,Catch Me If You Can,2002,https://boxd.it/29VS,4.5
2026-03-19,The Devil Wears Prada,2006,https://boxd.it/2awE,3
2026-03-19,Up,2009,https://boxd.it/1OEc,4
2026-03-19,Joker,2019,https://boxd.it/h4cS,4
2026-03-21,Conclave,2024,https://boxd.it/AO8q,3
2026-03-21,Inside Out 2,2024,https://boxd.it/CFrC,3
2026-03-21,Soul,2020,https://boxd.it/ioLA,3
2026-03-21,Dirty Grandpa,2016,https://boxd.it/99pG,2
2026-03-21,The Brutalist,2024,https://boxd.it/k4BO,3
2026-03-23,Sicilian Letters,2024,https://boxd.it/Htgs,1
2026-03-24,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,3.5
2026-03-25,Anora,2024,https://boxd.it/Egcw,4
2026-03-27,They Live,1988,https://boxd.it/20lm,3.5
2026-03-27,Barry Lyndon,1975,https://boxd.it/25A2,3
2026-03-27,Somebody to Love,2025,https://boxd.it/O4LY,2.5
2026-03-27,Mean Girls,2004,https://boxd.it/1VNg,2
2026-03-27,13 Going on 30,2004,https://boxd.it/1X6e,2
2026-03-31,Materialists,2025,https://boxd.it/GZlW,2
2026-04-01,Hannah and Her Sisters,1986,https://boxd.it/23jy,4
2026-04-01,Pretty Woman,1990,https://boxd.it/2b6M,2.5
2026-04-22,Malcolm & Marie,2021,https://boxd.it/r5cO,3.5
2026-04-26,Pawn Sacrifice,2014,https://boxd.it/7dlE,3
2026-05-11,The Drama,2026,https://boxd.it/OA2w,4
2026-05-12,Into the Wild,2007,https://boxd.it/22m2,4
2026-05-12,In the Mood for Love,2000,https://boxd.it/29tE,4.5
2026-05-12,The Notebook,2004,https://boxd.it/1UNE,2
2026-05-12,Taste of Cherry,1997,https://boxd.it/1m8W,3
2026-05-12,2001: A Space Odyssey,1968,https://boxd.it/2bf0,4
2026-05-12,The Shining,1980,https://boxd.it/29Nu,4.5
2026-05-12,Prisoners,2013,https://boxd.it/4E5i,5
2026-05-12,Punch-Drunk Love,2002,https://boxd.it/20E4,4.5
2026-05-12,Wild Strawberries,1957,https://boxd.it/29ZU,4
2026-05-12,A Complete Unknown,2024,https://boxd.it/oBYa,3.5
2026-05-12,Normal People,2020,https://boxd.it/q2VY,3.5
2026-05-12,Blue Valentine,2010,https://boxd.it/MxG,3
2026-05-12,Million Dollar Baby,2004,https://boxd.it/2bdI,3.5
2026-05-14,The Social Network,2010,https://boxd.it/17ue,5
2026-05-17,Sentimental Value,2025,https://boxd.it/GwcG,3.5
2026-05-17,Die My Love,2025,https://boxd.it/D5cI,2
