Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-01,Predestination,2014,https://boxd.it/7Wojkb,4,,,2024-12-01
2024-12-04,Do the Right Thing,1989,https://boxd.it/7XYjtX,3.5,,,2024-12-03
2024-12-06,Moana 2,2024,https://boxd.it/7YJhAB,2.5,,,2024-12-05
2024-12-06,Gladiator II,2024,https://boxd.it/7YQ2qP,3.5,,,2024-12-06
2024-12-08,The Seventh Seal,1957,https://boxd.it/7ZOAa7,4,,,2024-12-08
2024-12-10,Arrival,2016,https://boxd.it/80TKCT,3,,,2024-12-09
2024-12-12,Alien,1979,https://boxd.it/81QMnp,5,,,2024-12-11
2024-12-14,No Country for Old Men,2007,https://boxd.it/82MlX7,4.5,,,2024-12-14
2024-12-15,Naples to New York,2024,https://boxd.it/83aPeJ,3.5,,,2024-12-14
2024-12-23,Cape Fear,1991,https://boxd.it/883Toz,3.5,,,2024-12-23
2024-12-23,Christmas in Miami,2005,https://boxd.it/883V8t,2,,,2024-12-23
2024-12-26,Conclave,2024,https://boxd.it/8aaszx,3.5,,,2024-12-25
2024-12-28,Mufasa: The Lion King,2024,https://boxd.it/8cpJ5R,4,,,2024-12-28
2025-01-03,The King of Comedy,1982,https://boxd.it/8hGUcD,4,,,2025-01-02
2025-01-04,The Lion King,1994,https://boxd.it/8imrXT,5,,,2025-01-03
2025-01-05,"O Brother, Where Art Thou?",2000,https://boxd.it/8kmcbD,3,,,2025-01-05
2025-01-08,Wallace & Gromit: Vengeance Most Fowl,2024,https://boxd.it/8mFRIT,3.5,,,2025-01-07
2025-01-10,Rope,1948,https://boxd.it/8oDKfT,4.5,,,2025-01-09
2025-01-11,Nosferatu,2024,https://boxd.it/8pY78F,4,,,2025-01-11
2025-01-13,Inside Out 2,2024,https://boxd.it/8rxKdX,3.5,,,2025-01-12
2025-01-14,Hellboy,2004,https://boxd.it/8t0neZ,2.5,,,2025-01-13
2025-01-15,Midnight Run,1988,https://boxd.it/8tL5Hj,4,,,2025-01-14
2025-01-17,The Ballad of Buster Scruggs,2018,https://boxd.it/8v9F6F,4.5,,,2025-01-16
2025-01-20,Drive,2011,https://boxd.it/8xBc29,3,,,2025-01-19
2025-01-23,Pulp Fiction,1994,https://boxd.it/8zHM0N,5,,,2025-01-22
2025-01-25,"The Legend of Al, John and Jack",2002,https://boxd.it/8BivH9,4,,,2025-01-24
2025-01-29,Alien: Romulus,2024,https://boxd.it/8EJqBV,4,,,2025-01-29
2025-01-31,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/8FUrbl,5,,,2025-01-30
2025-02-02,Harry Potter and the Goblet of Fire,2005,https://boxd.it/8H3K5D,5,,,2025-02-01
2025-02-04,There Will Be Blood,2007,https://boxd.it/8IYuQL,3.5,,,2025-02-03
2025-02-07,Don't Be Bad,2015,https://boxd.it/8KKVgv,2.5,,,2025-02-06
2025-02-13,Funny Games,2007,https://boxd.it/8OIn3T,4.5,,,2025-02-13
2025-02-16,Parthenope,2024,https://boxd.it/8QaBWN,1,,,2025-02-15
2025-02-17,Captain America: Brave New World,2025,https://boxd.it/8R0pSt,2,,,2025-02-16
2025-02-19,In the Mood for Love,2000,https://boxd.it/8SxWET,4.5,,,2025-02-18
2025-02-21,Moon,2009,https://boxd.it/8TW3xd,3,,,2025-02-20
2025-02-23,Challengers,2024,https://boxd.it/8V09lJ,3.5,,,2025-02-22
2025-02-23,Shrek 2,2004,https://boxd.it/8VaLkz,5,,,2025-02-22
2025-02-24,Mussolini: Son of the Century,2024,https://boxd.it/8VL7Ej,4,,,2025-02-23
2025-02-27,BlacKkKlansman,2018,https://boxd.it/8XMRgR,4,,,2025-02-26
2025-02-28,Somebody to Love,2025,https://boxd.it/8YoLTf,3.5,,,2025-02-28
2025-03-01,Dial M for Murder,1954,https://boxd.it/8YSLRX,4.5,,,2025-02-28
2025-03-02,Star Wars,1977,https://boxd.it/8ZK4gR,5,,,2025-03-02
