Date,Name,Year,Letterboxd URI,Rating
2025-04-03,Jaws,1975,https://boxd.it/2a5e,4.5
2025-04-04,Tokyo Godfathers,2003,https://boxd.it/1Qg2,5
2025-04-11,Annie Hall,1977,https://boxd.it/29M2,4.5
2025-04-12,Modern Times,1936,https://boxd.it/25MC,4.5
2025-04-12,Paths of Glory,1957,https://boxd.it/29b6,4.5
2025-04-12,Oldboy,2003,https://boxd.it/29R2,4.5
2025-04-12,Rope,1948,https://boxd.it/28yo,4
2025-04-12,Gran Torino,2008,https://boxd.it/1Qzy,4
2025-04-12,Blazing Saddles,1974,https://boxd.it/1UHQ,4
2025-04-12,A Day in Court,1954,https://boxd.it/2Smy,3.5
2025-04-12,A Brighter Tomorrow,2023,https://boxd.it/yQy2,3.5
2025-04-12,The Menu,2022,https://boxd.it/lScm,3
2025-04-12,Palm Springs,2020,https://boxd.it/lCXQ,3
2025-04-12,Gremlins,1984,https://boxd.it/29gg,3.5
2025-04-12,Scarface,1983,https://boxd.it/2b7g,4
2025-04-26,Pulp Fiction,1994,https://boxd.it/29Pq,4.5
2025-04-26,Suspiria,1977,https://boxd.it/1SNW,4.5
2025-04-26,The Last Emperor,1987,https://boxd.it/29Ji,4
2025-04-26,Longlegs,2024,https://boxd.it/KzLM,3.5
2025-04-29,There Will Be Blood,2007,https://boxd.it/20Z2,4
2025-04-29,Il conte Max,1957,https://boxd.it/gCk,3
2025-04-29,The New Monsters,1977,https://boxd.it/Qzw,4
2025-05-01,Sinners,2025,https://boxd.it/KQMM,3.5
2025-05-19,Alien,1979,https://boxd.it/2awY,4.5
2025-05-31,"Dearest Relatives, Poisonous Relations",1992,https://boxd.it/1y8O,3
2025-06-02,Hannah and Her Sisters,1986,https://boxd.it/23jy,5
2025-06-05,Dogville,2003,https://boxd.it/2a8W,4.5
2025-06-18,They Call Me Trinity,1970,https://boxd.it/1YNe,3
2025-06-19,L.A. Confidential,1997,https://boxd.it/27oC,4.5
2025-06-23,The Phoenician Scheme,2025,https://boxd.it/H0Ca,3.5
2025-06-23,The Card Counter,2021,https://boxd.it/nTH0,3.5
2025-06-23,Forrest Gump,1994,https://boxd.it/728,4
2025-07-19,La La Land,2016,https://boxd.it/a5fa,4.5
2025-07-20,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-07-24,In Bruges,2008,https://boxd.it/20n8,4
2025-07-26,Challengers,2024,https://boxd.it/zld0,2.5
2025-07-27,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4.5
2025-07-30,Witness for the Prosecution,1957,https://boxd.it/18H4,5
2025-08-08,Bananas,1971,https://boxd.it/1UbA,3.5
2025-08-25,The Departed,2006,https://boxd.it/28MA,4.5
2025-09-27,The Royal Tenenbaums,2001,https://boxd.it/1YHU,5
